               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12488,            0.032843,            0.075074,          0.00079201,            0.082213,           0.0056112,            0.001698,             0.11492,            0.023014,            0.073241,              0.0892,              0.0012,              0.0012
                   1,             0.10882,            0.033663,            0.069919,           0.0013477,             0.15431,            0.017577,           0.0055935,            0.099454,            0.023836,            0.066298,            0.077451,           0.0024505,           0.0024505
                   2,             0.09503,            0.038136,            0.062776,             0.83886,            0.055336,            0.028191,           0.0075494,            0.088322,            0.022463,            0.057935,             0.06565,           0.0036495,           0.0036495
                   3,            0.086224,             0.03416,            0.056427,             0.95134,            0.035573,            0.042822,            0.013934,              0.0792,            0.023027,            0.053753,            0.053797,           0.0047971,           0.0047971
                   4,            0.077118,            0.035581,            0.052501,             0.47922,             0.10843,            0.054036,            0.019847,            0.080201,            0.019661,            0.051801,            0.041893,           0.0058931,           0.0058931
                   5,            0.074042,            0.032602,            0.049184,             0.74598,             0.12444,             0.10586,            0.034547,            0.073795,            0.018002,            0.049336,            0.029938,           0.0069377,           0.0069377
                   6,            0.073552,            0.029162,            0.045393,             0.72738,              0.1358,             0.11257,            0.040184,            0.075863,            0.016962,            0.047547,            0.017931,           0.0079308,           0.0079308
                   7,            0.070512,            0.027779,            0.043745,             0.44542,             0.22517,             0.12743,            0.048186,             0.07774,            0.016534,            0.044674,            0.008614,            0.008614,            0.008614
                   8,            0.071009,            0.025106,            0.040841,             0.62245,             0.23154,             0.20265,            0.081087,             0.06399,            0.016327,            0.043125,            0.008614,            0.008614,            0.008614
                   9,            0.064606,            0.024247,            0.041198,             0.68072,             0.22626,             0.20034,            0.066715,            0.065323,            0.015984,            0.041891,            0.008416,            0.008416,            0.008416
                  10,            0.064241,            0.025221,            0.037669,             0.58974,             0.28395,             0.24246,            0.093271,             0.07136,            0.014595,            0.040177,            0.008218,            0.008218,            0.008218
                  11,            0.061803,            0.023121,            0.035377,             0.66013,             0.27279,             0.24982,            0.092988,            0.066669,            0.014565,            0.038602,             0.00802,             0.00802,             0.00802
                  12,             0.06056,            0.021804,            0.035058,             0.73338,             0.26318,             0.32061,             0.14386,            0.052497,            0.015253,            0.037221,            0.007822,            0.007822,            0.007822
                  13,            0.058067,            0.021459,             0.03242,             0.75698,             0.22818,             0.27864,             0.14041,            0.062297,            0.014521,            0.036345,            0.007624,            0.007624,            0.007624
                  14,            0.055791,            0.021916,            0.030581,                0.77,             0.28521,             0.38566,             0.21336,            0.050754,            0.014705,            0.034735,            0.007426,            0.007426,            0.007426
                  15,            0.050288,            0.019838,            0.029499,             0.52046,             0.35461,             0.31882,             0.13727,            0.053107,            0.014566,            0.033197,            0.007228,            0.007228,            0.007228
                  16,            0.051836,            0.019493,            0.028824,             0.54317,             0.33677,             0.34627,             0.20157,            0.050677,            0.013679,            0.032428,             0.00703,             0.00703,             0.00703
                  17,            0.049587,            0.020666,            0.027855,             0.55273,             0.30622,             0.29483,             0.15565,            0.054395,            0.013532,            0.031803,            0.006832,            0.006832,            0.006832
                  18,            0.049438,            0.018485,            0.026018,             0.68448,             0.36076,             0.46794,             0.27468,            0.042617,            0.013737,            0.031317,            0.006634,            0.006634,            0.006634
                  19,            0.046124,            0.018598,            0.026123,             0.52103,             0.43158,             0.43578,              0.2085,            0.051394,            0.013001,            0.030393,            0.006436,            0.006436,            0.006436
                  20,            0.046045,            0.018584,            0.026041,             0.67386,             0.40945,             0.47267,              0.2641,             0.04414,            0.013793,            0.029905,            0.006238,            0.006238,            0.006238
                  21,            0.045454,            0.017176,            0.024309,             0.65107,             0.37623,             0.43044,             0.23694,            0.049725,            0.013519,            0.029646,             0.00604,             0.00604,             0.00604
                  22,            0.043301,            0.017656,            0.022045,             0.62607,             0.46635,             0.49283,             0.30466,            0.041073,            0.013237,             0.02842,            0.005842,            0.005842,            0.005842
                  23,            0.041088,            0.017407,            0.023335,             0.50277,             0.51965,             0.47432,             0.26142,            0.041871,            0.012763,            0.027747,            0.005644,            0.005644,            0.005644
                  24,            0.040349,            0.017488,            0.019574,              0.6118,             0.52875,             0.54502,             0.32235,            0.039375,            0.012847,            0.027344,            0.005446,            0.005446,            0.005446
                  25,            0.041593,             0.01738,             0.02192,             0.61835,             0.53699,             0.55293,              0.2822,            0.043795,            0.012726,             0.02697,            0.005248,            0.005248,            0.005248
                  26,            0.039803,            0.016677,            0.021175,             0.67122,             0.52059,             0.56779,             0.35308,            0.035823,            0.012681,            0.026557,             0.00505,             0.00505,             0.00505
                  27,            0.037689,            0.015781,             0.02137,             0.69125,             0.49354,             0.53766,             0.33072,            0.038571,            0.012442,            0.026039,            0.004852,            0.004852,            0.004852
                  28,            0.037589,            0.016653,            0.018713,             0.61733,             0.52719,             0.54796,              0.3236,            0.039725,            0.012667,             0.02576,            0.004654,            0.004654,            0.004654
                  29,            0.036043,            0.016405,            0.019721,             0.71862,             0.50162,             0.57007,             0.36155,             0.03691,            0.012549,            0.025599,            0.004456,            0.004456,            0.004456
                  30,            0.034941,            0.015741,            0.018756,             0.76878,             0.53191,             0.59511,              0.3869,            0.036234,            0.012714,             0.02534,            0.004258,            0.004258,            0.004258
                  31,            0.033967,             0.01617,            0.019009,             0.70523,             0.53459,             0.60496,             0.39838,            0.036883,            0.012833,             0.02497,             0.00406,             0.00406,             0.00406
                  32,            0.033703,            0.015953,            0.019198,             0.75357,             0.52178,             0.61266,             0.38498,            0.036398,            0.012774,            0.024676,            0.003862,            0.003862,            0.003862
