               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12488,            0.032843,            0.075074,          0.00079201,            0.082213,           0.0056112,            0.001698,             0.11492,            0.023014,            0.073241,              0.0892,              0.0012,              0.0012
                   1,             0.10885,            0.033642,              0.0699,           0.0012185,             0.14863,            0.024461,           0.0085992,            0.099546,            0.023746,            0.066453,            0.077451,           0.0024515,           0.0024515
                   2,            0.095227,            0.037986,            0.062807,             0.84158,            0.059289,            0.045508,            0.014541,            0.087493,            0.022621,            0.057545,            0.065652,           0.0036525,           0.0036525
                   3,            0.084473,            0.034516,            0.056236,             0.82815,            0.039526,            0.016897,           0.0050778,            0.084511,            0.021719,            0.053854,            0.053803,            0.004803,            0.004803
                   4,            0.077228,            0.035365,            0.052242,             0.45606,             0.13495,            0.084055,            0.038974,            0.078908,              0.0201,            0.051251,            0.041903,           0.0059031,           0.0059031
                   5,            0.075061,            0.032425,            0.049201,             0.83801,            0.092639,             0.13157,            0.049197,            0.074128,            0.017864,            0.049061,            0.029953,           0.0069526,           0.0069526
                   6,            0.072892,            0.029267,            0.045546,             0.70926,             0.13358,            0.081746,            0.025273,             0.07999,            0.016417,            0.047382,            0.017952,           0.0079518,           0.0079518
                   7,            0.072639,            0.027312,             0.04364,             0.78977,              0.1654,             0.16055,            0.053257,            0.073851,            0.015936,            0.045229,           0.0086412,           0.0086412,           0.0086412
                   8,            0.072243,             0.02561,            0.041486,             0.38786,             0.25111,             0.14754,              0.0706,             0.07207,            0.015626,            0.043339,           0.0086412,           0.0086412,           0.0086412
                   9,            0.067887,            0.024338,            0.041166,              0.7168,              0.1989,             0.21233,            0.086401,            0.061191,            0.016134,            0.041152,           0.0084471,           0.0084471,           0.0084471
                  10,            0.064942,            0.025186,            0.037142,             0.56071,             0.26917,              0.1929,            0.082448,            0.071116,            0.014995,            0.039381,           0.0082529,           0.0082529,           0.0082529
                  11,            0.063482,            0.022759,            0.034886,             0.56282,              0.3172,             0.20732,            0.086526,            0.067082,            0.014617,            0.037851,           0.0080588,           0.0080588,           0.0080588
                  12,            0.060026,            0.022019,            0.034326,             0.75641,             0.26384,             0.33141,             0.13496,            0.054445,            0.015459,            0.036345,           0.0078647,           0.0078647,           0.0078647
                  13,            0.058479,            0.021288,            0.031851,             0.70028,             0.27274,             0.23907,             0.10668,            0.060218,            0.014649,            0.035264,           0.0076706,           0.0076706,           0.0076706
                  14,            0.056008,            0.022019,             0.03022,             0.83518,             0.28467,             0.35023,             0.15061,            0.051523,            0.014582,            0.034655,           0.0074765,           0.0074765,           0.0074765
                  15,            0.052529,            0.019929,            0.029542,             0.47468,             0.38527,             0.28668,             0.14549,            0.054584,            0.014294,            0.033125,           0.0072824,           0.0072824,           0.0072824
                  16,            0.052255,            0.019563,             0.02856,             0.81983,             0.26551,             0.39457,             0.21123,            0.048215,            0.014279,            0.032636,           0.0070882,           0.0070882,           0.0070882
                  17,            0.050544,            0.020094,            0.027824,             0.78792,             0.29565,             0.42905,             0.20205,            0.054128,            0.013647,            0.031787,           0.0068941,           0.0068941,           0.0068941
                  18,            0.047641,              0.0185,             0.02599,             0.66922,             0.43986,              0.4814,             0.27325,            0.041573,            0.013687,            0.030983,              0.0067,              0.0067,              0.0067
                  19,            0.046614,            0.018664,            0.025921,             0.55794,             0.40964,             0.46716,             0.24875,            0.046932,              0.0135,            0.029832,           0.0065059,           0.0065059,           0.0065059
                  20,            0.045161,            0.018405,            0.025797,             0.63419,             0.41542,             0.48538,             0.25054,             0.04295,             0.01377,             0.02925,           0.0063118,           0.0063118,           0.0063118
                  21,            0.044881,             0.01707,            0.024402,             0.61304,              0.4224,             0.46544,             0.24148,             0.04651,            0.012915,            0.028556,           0.0061176,           0.0061176,           0.0061176
                  22,            0.041993,            0.017533,            0.021901,             0.58881,             0.52296,             0.52689,             0.32365,            0.040579,             0.01335,            0.027913,           0.0059235,           0.0059235,           0.0059235
                  23,            0.041377,            0.017347,            0.023364,              0.5397,             0.55546,             0.52967,             0.29827,            0.041114,            0.012821,            0.027432,           0.0057294,           0.0057294,           0.0057294
                  24,            0.040751,            0.017298,            0.019273,              0.5559,             0.53254,             0.54109,             0.30953,            0.041319,            0.012522,            0.027166,           0.0055353,           0.0055353,           0.0055353
                  25,            0.041236,             0.01743,            0.021616,             0.64391,             0.54361,             0.57465,             0.34045,            0.037478,            0.012864,            0.026692,           0.0053412,           0.0053412,           0.0053412
                  26,            0.041043,            0.016577,            0.021056,             0.69102,             0.51005,             0.55663,             0.28451,            0.043262,            0.012568,            0.026276,           0.0051471,           0.0051471,           0.0051471
                  27,            0.037626,            0.015868,            0.021288,             0.60946,             0.52112,             0.53851,             0.33465,            0.039496,            0.012795,            0.025954,           0.0049529,           0.0049529,           0.0049529
                  28,            0.037624,            0.016502,            0.018369,             0.65279,             0.52544,             0.55456,             0.34413,            0.040984,            0.012536,            0.025595,           0.0047588,           0.0047588,           0.0047588
                  29,            0.036366,            0.016428,            0.019316,             0.66378,             0.54408,             0.57996,             0.37688,            0.036503,            0.012514,            0.025281,           0.0045647,           0.0045647,           0.0045647
                  30,             0.03617,            0.015707,            0.018449,              0.7681,             0.46968,             0.57826,             0.33439,            0.039253,            0.012393,            0.024989,           0.0043706,           0.0043706,           0.0043706
                  31,            0.033538,            0.016188,            0.019119,             0.69795,             0.54621,             0.59859,             0.38985,            0.035813,             0.01236,            0.024224,           0.0041765,           0.0041765,           0.0041765
                  32,            0.034334,             0.01602,            0.019164,             0.73075,             0.52557,             0.57633,             0.33493,            0.038341,            0.012301,            0.024101,           0.0039824,           0.0039824,           0.0039824
                  33,            0.033731,            0.015841,            0.017381,             0.76765,             0.52413,             0.61312,             0.39125,            0.034498,            0.012191,              0.0238,           0.0037882,           0.0037882,           0.0037882
                  34,            0.033973,            0.016312,            0.016557,             0.71287,             0.54105,              0.5944,             0.37387,            0.037387,            0.011886,            0.023668,           0.0035941,           0.0035941,           0.0035941
                  35,            0.031415,            0.014314,            0.017828,             0.84436,             0.50329,             0.64469,             0.42214,            0.032869,            0.012057,             0.02337,              0.0034,              0.0034,              0.0034
                  36,            0.032291,            0.015069,             0.01743,             0.80639,              0.5137,             0.62686,             0.41868,            0.033356,            0.011934,            0.023141,           0.0032059,           0.0032059,           0.0032059
                  37,            0.029904,            0.014349,            0.015785,             0.83154,             0.53229,             0.63683,              0.4225,            0.032411,            0.012104,            0.022832,           0.0030118,           0.0030118,           0.0030118
                  38,            0.029565,            0.014015,            0.016551,             0.81888,             0.52934,             0.62144,             0.39524,             0.03306,            0.012017,            0.022647,           0.0028176,           0.0028176,           0.0028176
                  39,            0.029261,            0.015152,            0.016086,             0.81285,             0.52702,             0.62872,             0.41352,            0.033702,            0.012182,            0.022409,           0.0026235,           0.0026235,           0.0026235
                  40,            0.028479,            0.014166,            0.014805,             0.82521,             0.52489,             0.63767,             0.42742,             0.03249,            0.011803,            0.022252,           0.0024294,           0.0024294,           0.0024294
                  41,            0.027604,            0.014876,            0.015229,              0.8237,             0.52377,             0.63224,              0.4483,            0.031025,            0.011682,            0.022095,           0.0022353,           0.0022353,           0.0022353
                  42,            0.027651,            0.013707,            0.015885,             0.79587,             0.52784,             0.63916,             0.46542,            0.030191,            0.011829,            0.022053,           0.0020412,           0.0020412,           0.0020412
                  43,             0.02753,            0.015041,            0.015986,             0.77742,             0.52718,             0.63378,             0.43819,            0.032074,            0.011867,            0.021959,           0.0018471,           0.0018471,           0.0018471
                  44,            0.025151,            0.014023,            0.015514,             0.78356,             0.53131,             0.63925,             0.46009,            0.030375,             0.01192,            0.021842,           0.0016529,           0.0016529,           0.0016529
                  45,            0.025542,            0.013431,            0.015069,             0.80173,             0.52635,             0.63679,             0.46825,            0.029328,            0.011803,            0.021729,           0.0014588,           0.0014588,           0.0014588
                  46,            0.025897,            0.013187,            0.014915,             0.79769,             0.52305,             0.63703,             0.46021,            0.029698,            0.011768,            0.021644,           0.0012647,           0.0012647,           0.0012647
                  47,            0.025061,            0.013915,            0.015212,             0.82985,             0.55062,             0.65332,             0.46792,            0.028971,            0.011833,            0.021446,           0.0010706,           0.0010706,           0.0010706
                  48,            0.023743,            0.012826,            0.015504,             0.82006,             0.54109,             0.63949,             0.46575,            0.028774,            0.011765,            0.021357,          0.00087647,          0.00087647,          0.00087647
                  49,            0.023206,            0.014161,            0.013829,             0.80589,             0.54299,             0.65022,             0.49085,            0.027981,            0.011761,            0.021328,          0.00068235,          0.00068235,          0.00068235
                  50,            0.024456,            0.013357,            0.013867,             0.82026,             0.53861,             0.64859,             0.47798,            0.027882,            0.011757,            0.021282,          0.00048824,          0.00048824,          0.00048824
